year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1986,1,6.4,1739.0,88.0,3,4,62,71,16,110,3844,1278,3204,611,969,762,4041,2701
1998,1,5.9,5760.0,32.0,7,16,62,71,16,110,3085,3867,754,611,2245,762,873,3786
1995,1,7.1,5444.0,95.0,5,7,23,10,39,110,1657,403,4074,611,902,762,1370,2147
1983,3,7.6,3019.0,89.0,7,12,62,66,16,37,1689,958,1739,611,701,762,1882,683
1974,1,5.9,1536.0,240.0,13,27,61,71,16,110,376,4235,2985,611,2302,762,985,2726
1943,1,6.3,596.0,110.0,18,4,62,71,16,110,3779,1502,3960,611,500,206,4342,1092
1976,4,3.8,406.0,90.0,4,14,62,71,16,110,1468,4675,3923,611,2512,762,4439,3056
2001,4,6.9,26259.0,113.0,4,8,62,71,16,110,975,5375,3923,611,2512,762,1115,847
1992,7,7.8,213.0,97.12636815920398,14,27,61,71,16,110,3341,1052,3191,570,2512,762,4765,3786
2000,1,5.8,2477.0,30.0,0,4,27,71,7,52,4635,1497,1797,611,1954,762,4511,1028
1967,1,7.0,9899.0,96.82821118991332,13,16,61,30,16,110,1959,216,3406,611,2499,762,3467,2593
2005,3,6.8,184.0,360.0,2,0,62,71,16,110,1126,3576,2115,611,925,762,2233,1587
2004,7,4.3,6.0,109.0,5,13,62,71,16,110,135,1641,2639,408,2512,762,4765,3786
1967,1,6.1,2702.0,93.0,9,13,61,71,16,110,1904,701,1198,611,627,267,3946,3786
1993,1,7.4,13279.0,103.0,4,5,4,29,16,110,3399,984,3370,611,891,762,4069,3786
1980,0,6.5,361.0,91.0,1,7,61,71,16,110,4592,3149,2352,611,2512,762,951,3388
2003,4,7.3,409.0,103.0,2,0,10,67,16,110,947,3795,3923,611,2512,762,1814,2286
2002,1,6.2,1615.0,24.0,4,7,55,71,54,24,2764,4767,776,232,1344,762,897,1420
1999,1,2.0,2655.0,88.0,4,27,62,71,16,110,378,4498,3954,611,506,140,4804,658
1971,1,6.8,2192.0,102.0,4,7,66,29,32,37,2842,1453,3117,611,1934,762,3786,3786
2003,1,6.0,155.0,95.0,2,0,10,71,16,110,3451,2747,3383,611,102,762,490,3786
1993,1,7.7,27102.0,160.0,5,7,30,71,26,110,4193,2876,7,399,165,622,4035,38
2002,3,7.0,152.0,109.0,6,12,62,71,16,110,3911,407,3037,611,1725,762,1104,3786
2002,3,5.7,354.0,100.0,6,3,62,71,16,110,326,5605,3587,611,2401,762,4765,3786
1992,2,7.4,2535.0,101.0,3,5,10,67,16,110,577,3854,3923,611,2512,762,2456,3786
1990,0,7.3,449.0,93.0,4,20,62,71,16,110,4655,2577,1777,611,2512,762,2223,2419
1994,3,6.6,468.0,90.0,0,26,62,71,16,110,2571,555,2468,611,182,762,3191,3786
2004,1,7.7,21534.0,30.0,7,19,61,71,16,16,1358,2231,3546,611,69,762,184,3786
2003,7,7.7,29.0,92.0,14,27,61,67,16,110,2427,895,3923,611,2512,762,4765,3786
1999,7,5.8,124.0,91.0,20,14,62,71,16,95,3872,5771,2832,207,2512,762,4765,3786
1977,1,6.5,232.0,24.0,0,1,58,21,39,110,2200,1667,1795,611,2512,762,2871,3786
2001,1,6.4,4106.0,100.0,4,5,62,9,16,110,817,5344,612,611,2027,762,708,3786
2002,1,7.9,2581.0,84.0,6,4,62,71,16,110,4812,4948,318,537,2512,762,3140,3786
1980,1,4.6,17.0,105.0,0,7,27,10,39,110,2781,5704,4060,611,2512,762,4765,3786
2003,1,7.2,33.0,107.0,7,20,62,71,16,110,3723,3410,1933,611,663,762,2346,3786
1991,1,5.7,6796.0,60.0,4,7,62,71,16,110,2607,1522,2137,382,1765,762,509,3786
2000,1,8.1,136327.0,63.0,7,19,27,10,7,89,2889,5436,2078,611,1687,615,2527,3786
1965,1,7.6,8157.0,80.0,4,19,16,71,10,110,1720,5594,2729,611,729,762,3323,2490
1990,7,7.1,34.0,89.0,20,14,62,71,16,110,3217,3927,1719,163,2512,762,4765,3786
2000,1,6.4,2176.0,101.0,4,7,4,18,16,110,1103,5214,1977,611,553,762,2401,3786
1951,1,5.9,491.0,112.0,26,27,62,71,16,110,4007,4532,2317,611,1537,762,890,1163
1995,3,5.0,508.0,90.0,19,24,10,71,16,110,3012,5146,1988,611,1742,421,3230,3786
1994,1,6.6,1961.0,105.0,5,7,55,71,54,110,676,4802,1523,611,1340,762,1826,1857
2003,3,6.8,248.0,44.0,6,12,62,71,16,110,3921,2621,2484,611,766,762,1221,2300
